word,weight;
bacot,-4.0;
malas,-4.0;
sunyi,-3.0;
amoral,-3.0;
bekas,-3.0;
anti,-2.0;
gabole,-2.0;
simpan,-3.0;
ganggu,-4.0;
sentimen,-3.0;
santun,-2.0;
mulut,-1.0;
boro,-2.0;
kasam,-3.0;
pencet,-2.0;
bantet,-3.0;
sin,-1.0;
kesumat,-4.0;
bokek,-5.0;
muncikari,-5.0;
tip,-3.0;
asusila,-5.0;
stop,-3.0;
ciut,-3.0;
bengkak hati,-3.0;
dendam,-5.0;
tidak enak,-3.0;
mucikari,-5.0;
maapkan,-3.0;
vulgar,-3.0;
ndut,-4.0;
turun,-3.0;
hilang,-4.0;
kecoa,-3.0;
begitu,-3.0;
ratap,-3.0;
pesan,-3.0;
gelanggang,-3.0;
salah,-4.0;
kampit,-1.0;
dengu,-3.0;
gaje,-3.0;
cedih,-3.0;
jauh,-4.0;
putus,-5.0;
ngadu,-3.0;
najis,-4.0;
ego,-3.0;
geli,-2.0;
maklum,-2.0;
kambing,-3.0;
diblock,-4.0;
crash,-4.0;
sampah,-4.0;
maruk,-3.0;
rangsang,-3.0;
erti,-2.0;
renggang,-3.0;
tewas,-5.0;
amarah,-5.0;
melek,-2.0;
kenal,-2.0;
sangka,-3.0;
dilupain,-4.0;
kebo,-4.0;
nyasar,-4.0;
ungkap,-3.0;
bocor,-4.0;
ekspos,-4.0;
usai,-2.0;
pensiun,-3.0;
dibully,-5.0;
kontol,-5.0;
mimpiin,-2.0;
susila,-2.0;
begadang,-3.0;
eks,-3.0;
mudarat,-5.0;
delete,-3.0;
cerewet,-5.0;
berahi,-5.0;
patah,-4.0;
jerawat,-3.0;
bawel,-4.0;
pudar,-3.0;
hambur,-3.0;
rongsok,-3.0;
gairah,-2.0;
mencret,-4.0;
iluminasi,-3.0;
jones,-3.0;
hapus,-3.0;
mantan,-3.0;
iseng,-3.0;
zakar,-3.0;
air liur,-2.0;
berengsek,-5.0;
laporin,-3.0;
syahwat,-2.0;
tinggi,-2.0;
penat,-2.0;
nyinyir,-4.0;
cerai berai,-5.0;
igau,-3.0;
kenapasih,-3.0;
sesak,-4.0;
rahasia,-2.0;
anjay,-3.0;
sumbat,-3.0;
ucek,-3.0;
tamat,-4.0;
konco,-3.0;
balesnya,-2.0;
pantas,-2.0;
erotis,-4.0;
curi,-5.0;
perkara,-4.0;
kutuk,-5.0;
hilang ingat,-4.0;
anjur,-2.0;
bersitegang,-4.0;
buah bibir,-2.0;
teriak,-2.0;
cegah,-2.0;
rem,-2.0;
tiri,-2.0;
kerut merut,-3.0;
rabies,-4.0;
serapah,-4.0;
tangkap,-3.0;
emosi,-4.0;
ria,-4.0;
kutil,-4.0;
jarah,-4.0;
relung,-2.0;
heula,-2.0;
atut,-2.0;
pegang,-2.0;
congkel,-4.0;
keinget,-2.0;
sumpah,-3.0;
banding,-3.0;
gempal,-2.0;
hambat,-3.0;
asam,-2.0;
aur,-3.0;
traumatis,-4.0;
pingsan,-3.0;
latih,-2.0;
ekang,-4.0;
comot,-4.0;
tembak tembak,-5.0;
ngamen,-3.0;
tenggelem,-3.0;
genang,-2.0;
nyamuk,-1.0;
keras hati,-3.0;
tunas,-2.0;
bad,-4.0;
jleb,-3.0;
otot,-4.0;
pisah,-3.0;
idih,-3.0;
badung,-4.0;
blokir,-3.0;
perkutut,-3.0;
ngeri,-4.0;
egois,-5.0;
kubang,-3.0;
abg,-2.0;
hama,-3.0;
digituin,-2.0;
nyariin,-2.0;
harap,-2.0;
keluh,-4.0;
sisa,-4.0;
gelap,-4.0;
bolong,-3.0;
merinding,-3.0;
rinding,-3.0;
tembam,-4.0;
kontaminasi,-4.0;
hate,-5.0;
dalam,-2.0;
tempik,-4.0;
tendang,-3.0;
habis,-3.0;
desah,-3.0;
cuekin,-3.0;
pikun,-4.0;
kelu,-3.0;
miris,-4.0;
primitif,-4.0;
typonya,-3.0;
buru,-3.0;
rampok,-5.0;
