Tanggal,Waktu,Link,Nama Akun,Komentar,Tipe
2022-04-20,01:45:24,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugw7eCRkgyxks3tzgbJ4AaABAg,@fitarimeysa,Bikin campus tour universitas jemberrr dong mas,Komentar
2022-04-19,13:31:17,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzCm5761XagQfeY1Pd4AaABAg,@lestarinaep8102,10bln yg lalu dan skrg gerbang utama unnes nya udh gnti😂,Komentar
2022-04-17,13:47:49,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzSA-Ma63Lg838_ddt4AaABAg,@cookingeverytime,Mhon doanya mas aq tahun ini lanjut S3 pendidikan IPA Unnes...,Komentar
2022-04-11,06:21:50,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugxax3JJVihZOB_zG9d4AaABAg,@bungapertiwi7202,Keren banget,Komentar
2022-04-09,14:19:37,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzVfWGidgJJBWFcEVJ4AaABAg,@maskuatngagel6046,Bismillah utbk lolos tahun ini 2022 aminn,Komentar
2022-04-03,07:21:53,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwuazrqxWbanzBpcON4AaABAg,@nandaa__3133,Gedung kearsipan unnes itu dimana sih?  Soalnya ntar Mei saya UTBK disana. Di gedung kearsipan lantai 3F,Komentar
2022-03-31,05:00:02,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgydULoVVJqJHkT0RS54AaABAg,@laelymalik4425,Dapet biru And Ya😭,Komentar
2022-03-30,01:30:09,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgyxTT8PuAVyDPQWLu14AaABAg,@yeombitna_8324,Alhamdulillah jadi maba unnes taun ini tapi vlom pernah kesana sama sekali wkwk,Komentar
2022-03-22,08:58:02,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugz0PM-AHJBoeBlAH0l4AaABAg,@nyomansulastri1273,Bangga banget anakq bs kuliah di UNNES,Komentar
2022-02-27,13:10:35,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgxGXKz4yT43MXgXpOJ4AaABAg,@pandaitsocute,Bismillahirrahmanirrahim allahhumma sholli a'la sayyidina Muhammad wa ala Alihi sayyidina Muhammad semoga bisa lolos SNMPTN Universitas Negeri Semarang MABA Unnes 2022 aamiiinn,Komentar
2022-02-25,15:08:24,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=Ugz59eq-2oRC7_MQVip4AaABAg,@fajrinaramadhanti_asitektu454,Allahummasallialasayyidinamuhammad Snmptn unnes teknik arsitektur 2022 lulus aamiin,Komentar
2022-02-18,13:47:09,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgzQTFepw0iuaGPmRbN4AaABAg,@faniprasetya1648,Bismillah tahun ini keterima di Unnes,Komentar
2022-01-28,09:24:59,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgwVJc9D7lfAYaOJ19x4AaABAg,@joyiiee5908,"Bismillah ya allah keterima sn di unnes 2022
Aamiin ya allah
Bismillah maba unnes",Komentar
2022-01-16,09:56:06,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgxY3Pc5cYD6yDmRHGt4AaABAg,@apriliakhasanah3079,Sumpah keren banget pembawaannya bang,Komentar
2022-01-11,10:11:29,https://www.youtube.com/watch?v=vKVUQJhzOy0&lc=UgxpmhGGimiIt1Xp-BF4AaABAg,@sabreeens,"Bismillahirrahmanirrahim, lolos SNMPTN UNNES 2022, Aamiin....",Komentar
